AnimeID	GenreName
A001	Action
A001	Adventure
A001	Drama
A001	Fantasy
A002	Action
A002	Drama
A002	Military
A002	Supernatural
A003	Action
A003	Adventure
A003	Fantasy
A003	Comedy
A004	Action
A004	Fantasy
A004	Supernatural
A004	Adventure
A005	Action
A005	Supernatural
A005	Fantasy
A006	Sci-Fi
A006	Drama
A006	Thriller
A007	Supernatural
A007	Psychological
A007	Thriller
A008	Action
A008	Adventure
A008	Fantasy
A009	Action
A009	Adventure
A009	Fantasy
A009	Drama
A010	Action
A010	Comedy
A010	Adventure
A011	Sports
A011	Drama
A011	Comedy
A012	Drama
A012	Fantasy
A012	Slice of Life
A013	Action
A013	Adventure
A013	Fantasy
A013	Sci-Fi
A014	Action
A014	Horror
A014	Psychological
A015	Drama
A015	Romance
A015	Music
A016	Action
A016	Mecha
A016	Sci-Fi
A016	Drama
A017	Action
A017	Mecha
A017	Sci-Fi
A017	Drama
A018	Action
A018	Comedy
A018	Sci-Fi
A019	Action
A019	Comedy
A019	Sci-Fi
A020	Action
A020	Comedy
A020	Supernatural
A021	Action
A021	Comedy
A021	Supernatural
A022	Action
A022	Horror
A022	Supernatural
A023	Comedy
A023	Adventure
A023	Slice of Life
A024	Adventure
A024	Drama
A024	Fantasy
A025	Sports
A025	Action
A025	Drama
A026	Comedy
A026	Romance
A026	Slice of Life
A027	Comedy
A027	Romance
A027	Slice of Life
A028	Comedy
A028	Romance
A028	Slice of Life
A029	Drama
A029	Fantasy
A029	Psychological
A030	Action
A030	Adventure
A030	Fantasy
A031	Comedy
A031	Fantasy
A031	Adventure
A032	Comedy
A032	Fantasy
A032	Adventure
A033	Adventure
A033	Fantasy
A033	Comedy
A034	Action
A034	Fantasy
A034	Adventure
A035	Action
A035	Fantasy
A035	Adventure
A036	Action
A036	Fantasy
A036	Adventure
A037	Action
A037	Comedy
A037	Supernatural
A038	Action
A038	Comedy
A038	Supernatural
A039	Action
A039	Fantasy
A039	Adventure
A040	Adventure
A040	Sci-Fi
A040	Comedy
A041	Adventure
A041	Sci-Fi
A041	Comedy
A042	Horror
A042	Thriller
A042	Psychological
A043	Adventure
A043	Drama
A043	Fantasy
A044	Horror
A044	Action
A044	Sci-Fi
A045	Drama
A045	Mystery
A045	Psychological
A046	Romance
A046	Slice of Life
A046	Comedy
A047	Romance
A047	Slice of Life
A047	Comedy
A048	Drama
A048	Romance
A048	Slice of Life
A049	Drama
A049	Romance
A049	Slice of Life
A050	Action
A050	Drama
A050	Supernatural
A051	Romance
A051	Drama
A051	Supernatural
A052	Romance
A052	Drama
A052	Supernatural
A053	Fantasy
A053	Adventure
A053	Drama
A054	Action
A054	Fantasy
A054	Adventure
A055	Fantasy
A055	Adventure
A055	Romance
A056	Adventure
A056	Fantasy
A056	Sci-Fi
A057	Drama
A057	Historical
A058	Drama
A058	Romance
A059	Drama
A059	Romance
A060	Action
A060	Supernatural
A060	Fantasy
A061	Slice of Life
A061	Comedy
A061	Drama
A062	Drama
A062	Slice of Life
A062	Psychological
A063	Drama
A063	Slice of Life
A063	Psychological
A064	Drama
A064	Slice of Life
A065	Action
A065	Comedy
A065	Sci-Fi
A066	Action
A066	Comedy
A066	Sci-Fi
A067	Fantasy
A067	Slice of Life
A067	Drama
A068	Drama
A068	Romance
A068	Slice of Life
A069	Drama
A069	Romance
A069	Slice of Life
A070	Drama
A070	Sports
A070	Romance
A071	Drama
A071	Sports
A071	Romance
A072	Drama
A072	Sports
A072	Romance
A073	Action
A073	Adventure
A073	Sci-Fi
A074	Action
A074	Comedy
A074	Sci-Fi
A075	Action
A075	Supernatural
A075	Sci-Fi
A076	Action
A076	Supernatural
A076	Sci-Fi
A077	Action
A077	Supernatural
A077	Fantasy
A078	Action
A078	Supernatural
A078	Fantasy
A079	Action
A079	Fantasy
A079	Adventure
A080	Action
A080	Fantasy
A080	Adventure
A081	Fantasy
A081	Drama
A081	Supernatural
A082	Action
A082	Fantasy
A082	Sci-Fi
A083	Action
A083	Drama
A083	Fantasy
A084	Action
A084	Supernatural
A084	Sci-Fi
A085	Action
A085	Supernatural
A085	Sci-Fi
A086	Action
A086	Sci-Fi
A086	Drama
A087	Action
A087	Drama
A087	Sci-Fi
A088	Action
A088	Adventure
A088	Fantasy
A089	Action
A089	Drama
A089	Adventure
A089	Fantasy
A090	Romance
A090	Slice of Life
A090	Drama
A091	Romance
A091	Slice of Life
A091	Drama
A092	Romance
A092	Slice of Life
A092	Drama
A093	Mystery
A093	Psychological
A093	Supernatural
A093	Drama
A094	Mystery
A094	Supernatural
A094	Drama
A095	Psychological
A095	Sci-Fi
A095	Drama
A096	Action
A096	Sci-Fi
A096	Adventure
A097	Action
A097	Adventure
A097	Samurai
A098	Psychological
A098	Sci-Fi
A098	Drama
A099	Action
A099	Drama
A099	Fantasy
A100	Mystery
A100	Drama
A100	Psychological
